id,probability
1,0.3798946493770927
3,0.2042264996562153
8,0.43214707309380174
9,0.032769443932920694
10,0.9063040167093277
17,0.6441966367419809
20,0.2017270487267524
22,0.8585280580446124
26,0.49114510556682944
34,0.6254110049922019
39,0.7059517684392631
40,0.9389073166530579
42,0.6154098690021783
45,0.3463353612460196
50,0.051920113852247596
53,0.47449581348337233
55,0.3717310121282935
62,0.20329566625878215
68,0.8969656939152628
75,0.4700091928243637
77,0.9080865099094808
92,0.3924239103216678
96,0.01588262803852558
97,0.5435084037017077
107,0.9771229578182101
114,0.9865242319647223
115,0.35536618204787374
120,0.2809902841690928
122,0.23603464174084365
129,0.10440411791205406
142,0.9967551592271775
146,0.29944128706119955
147,0.8856605754699558
150,0.4517069556750357
153,0.751468253089115
164,0.4638347125146538
165,0.4516390720382333
168,0.4794468239415437
179,0.6109351078048348
180,0.5499365411233157
186,0.601925864815712
197,0.2563171568326652
199,0.11585653922520578
201,0.06493009044788778
202,0.6103940785396844
205,0.0951666438486427
208,0.724389357957989
210,0.7523932037875056
213,0.7469942050520331
214,0.13355527259409428
215,0.5176809225231409
216,0.5459663944784552
218,0.2470272823702544
229,0.9574520131573081
230,0.780283143511042
231,0.34028081642463803
232,0.26617248728871346
235,0.7268671626225114
236,0.5785386813804507
239,0.43557982076890767
240,0.8738966092932969
241,0.16045181802473962
242,0.9377169534564018
245,0.09745736629702151
251,0.6356991485226899
252,0.3789918578695506
256,0.7201298929285258
257,0.35148239182308316
265,0.9374695133883506
266,0.2098356387577951
268,0.935687649063766
269,0.17947695474140346
270,0.9307225402444601
274,0.35713538876734674
279,0.0611992112826556
282,0.7195464570540935
283,0.4737960093189031
284,0.0989731673616916
285,0.8438804359175265
287,0.25744784087873995
291,0.5963371542748064
296,0.8290174170397222
302,0.69936234341003
309,0.48485141317360103
311,0.7314908921252936
312,0.05045991227962077
313,0.393892910098657
314,0.8556834310293198
315,0.6177703491412103
318,0.7012633238919079
319,0.7945478372275829
322,0.8952360681723803
323,0.6712078324053437
324,0.4762753692921251
326,0.06375177949666977
327,0.34175453963689506
347,0.5481888954527676
352,0.023863784270361066
365,0.8813791433349252
369,0.5934751466847956
376,0.4995830007828772
378,0.03354963893070817
383,0.22591554163955152
384,0.9421926310751587
397,0.03783673676662147
402,0.00453022145666182
407,0.46777880447916687
410,0.10316376201808453
414,0.7758110233116895
415,0.38237928645685315
417,0.3267092718742788
420,0.4063872720580548
421,0.8870188833680004
422,0.9574390666093677
